"experiment","experiment_id","seed","dataset","metric","value","status","protocol_group","checkpoint","source_file","component","enabled"
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","mDice","0.8822600995500882","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","mIoU","0.8097068515916666","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","S_alpha","0.9283914920134092","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","F_beta_w","0.8558267116536176","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","maxE_phi","0.9686055833899161","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","mE_phi","0.9526623988268242","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-300","MAE","0.007638788975225592","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ClinicDB","mDice","0.9388944035576235","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ClinicDB","mIoU","0.889909230893658","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
"one_seed_33_fafem_warmup_cosine","Exp33","42","CVC-ClinicDB","S_alpha","0.9485061476379687","VALID FOR FINAL ABLATION","P-WC200-LW","C:\Users\jafari.h\Desktop\ai_project\ConvNeXt_Unet\one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\best_checkpoint.pth","one_seed_results\ablation\33_fafem_warmup_cosine\seed_42\evaluation_summary.json","",""
