experiment,seed,dataset,metric,value,checkpoint,source_file
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,mDice,0.8830929279327393,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,mIoU,0.8123322029908498,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,S_alpha,0.929633806483521,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,F_beta_w,0.8582163365196894,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,maxE_phi,0.9701211713151261,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,mE_phi,0.9526473772581521,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-300,MAE,0.00766711185088176,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,mDice,0.9342429791727374,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,mIoU,0.8834054301823339,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,S_alpha,0.9452727422833411,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,F_beta_w,0.9222779099174999,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,maxE_phi,0.9817463192534722,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,mE_phi,0.976753747641283,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ClinicDB,MAE,0.011129827116640286,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,mDice,0.8034491523862707,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,mIoU,0.7223448227792134,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,S_alpha,0.8665508692526531,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,F_beta_w,0.777801218567189,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,maxE_phi,0.9091988408814793,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,mE_phi,0.902877187888576,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,CVC-ColonDB,MAE,0.0337148304174525,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,mDice,0.7979706939480531,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,mIoU,0.7191954528988564,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,S_alpha,0.8821249810159567,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,F_beta_w,0.7616720501331721,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,maxE_phi,0.9175960392933017,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,mE_phi,0.904805079771281,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,ETIS-LaribPolypDB,MAE,0.01480472846230125,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,mDice,0.9335697877407074,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,mIoU,0.8859581428766251,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,S_alpha,0.9344751555990665,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,F_beta_w,0.9144705598039811,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,maxE_phi,0.9682553553849786,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,mE_phi,0.9619711949490297,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,42,Kvasir-SEG,MAE,0.023341814414614106,seed_42/best_checkpoint.pth,seed_42/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,mDice,0.8802734995905934,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,mIoU,0.8089180355294922,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,S_alpha,0.9245688462813213,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,F_beta_w,0.8566779056072126,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,maxE_phi,0.9694002129349211,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,mE_phi,0.9612379916058669,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
one_seed_45_fafem_residual_frequency_guided_mscb_stage3_stronger_init_warmup_cosine,6543,CVC-300,MAE,0.007192363959533144,seed_6543/best_checkpoint.pth,seed_6543/evaluation_summary.json
